RecId	Type	Shape_area	LambertX	LambertY	BlockID	ParcelID	parcel_area	parcel_cover	centroid	has_front_garden	num_neighbours	num_facades	distance_to_bus_stop	distance_to_train_station	distance_to_kindergarten	distance_to_school
4350181	CL	135.1043	147752.8723104975	190261.54866396866	138232.0	5783146.0	895.6292	15.08	POINT (147752.8723104975 190261.5486639687)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350182	CL	103.751	147622.89545575093	189594.8777068294	138232.0	5783561.0	329.1763	31.52	POINT (147622.8954557509 189594.8777068294)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350183	CL	7.4823	147795.35756335765	189888.84449694463	138233.0	5782459.0	69.5337	10.76	POINT (147795.3575633577 189888.8444969446)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350184	CL	103.8445	147838.0439355241	189489.19673563383	138239.0	5783503.0	103.8445	100.0	POINT (147838.0439355241 189489.1967356338)	False	1.0	3.0	0.0	0.0	0.0	0.0
4350185	CL	165.6719	147713.30626589138	189786.38634778708	138232.0	5782482.0	1178.2249	15.31	POINT (147713.3062658914 189786.3863477871)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350186	ON	7.6649	147722.87119767652	189784.99538585066	138232.0	5782482.0	1178.2249	15.31	POINT (147722.8711976765 189784.9953858507)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350187	ON	7.025	147703.67779649858	189788.5116667447	138232.0	5782482.0	1178.2249	15.31	POINT (147703.6777964986 189788.5116667447)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350188	CL	72.562	147537.34457701613	189340.88791219727	138235.0	5783532.0	197.7504	36.69	POINT (147537.3445770161 189340.8879121973)	False	2.0	2.0	0.0	0.0	0.0	0.0
4350189	CL	61.8136	147495.74530021625	188997.88369926234	138242.0	5783063.0	102.9291	72.61	POINT (147495.7453002163 188997.8836992623)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350190	CL	12.9227	147509.00299033383	189000.3877166735	138242.0	5783063.0	102.9291	72.61	POINT (147509.0029903338 189000.3877166735)	True	1.0	3.0	0.0	0.0	661.767	661.767
4350191	CL	118.4736	147364.96544257636	189111.9319139072	138235.0	5783220.0	118.4736	100.0	POINT (147364.9654425764 189111.9319139072)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350192	CL	191.5344	148006.34464306413	187523.94830986203	138245.0	5783297.0	2177.091	8.8	POINT (148006.3446430641 187523.948309862)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350193	CL	246.2904	147915.754819131	187328.0583515869	138245.0	5783324.0	272.0407	90.53	POINT (147915.754819131 187328.0583515869)	False	0.0	4.0	0.0	0.0	0.0	0.0
4350194	CL	75.7447	147598.03645262882	189495.11525754104	138235.0	5782747.0	160.215	47.28	POINT (147598.0364526288 189495.115257541)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350195	CL	53.5744	147983.43591707977	189517.19591426474	138233.0	5782423.0	392.0805	18.22	POINT (147983.4359170798 189517.1959142647)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350196	CL	17.8554	147980.1338759205	189527.68262893372	138233.0	5782423.0	392.0805	18.22	POINT (147980.1338759205 189527.6826289337)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350197	CL	59.7584	147788.48087680625	189504.31814902055	138233.0	5783453.0	233.0745	41.07	POINT (147788.4808768063 189504.3181490205)	True	2.0	2.0	0.0	0.0	0.0	0.0
4350198	CL	27.9852	147783.9113482749	189513.61350279543	138233.0	5783453.0	233.0745	41.07	POINT (147783.9113482749 189513.6135027954)	True	1.0	3.0	0.0	0.0	0.0	0.0
