"enh_typoH","LambertX","LambertY","LambertPrecision","sid","snum","X_Ori","Y_Ori"
0,151052,188647,"S","034886","0041",150949,188568
1,149314,189369,"S","034845","0025",149296,189388
0,150439,188294,"S","034917","0041",150229,188072
0,148959,189438,"S","034881","0010",148976,189488
0,149454,188089,"S","034846","0058",149468,188368
0,148798,185910,"S","034930","0026",148728,185826
0,147608,189181,"S","034951","0030",147586,189102
1,148891,189406,"S","034837","0011",148880,189405
0,148763,185666,"S","152573","0004",148733,185674
0,149571,187227,"S","034862","0160",149356,187419
0,148002,187829,"S","034867","0092",148280,187860
0,148907,188742,"S","034872","0116",148939,188650
0,149355,189160,"S","034848","0006",149380,189171
2,149282,187956,"S","034839","0042",149187,188007
2,149966,189432,"S","034904","0016",150001,189413
0,149968,189117,"C","034849","0440",150814,189113
2,149326,189280,"S","034847","0018",149301,189272
1,149362,189346,"S","034845","0006",149217,189372
0,149152,189237,"C","034849","0171",149179,189251
0,149571,189009,"S","034844","0012",149476,189035
0,149968,189117,"C","034849","0386",150417,189139
0,148798,185910,"S","034930","0010",148686,185723
0,149362,189346,"S","034845","0022",149302,189341
0,149924,187584,"S","034934","0029",149920,187624
1,149355,189160,"S","034848","0001",149342,189164
2,148798,185910,"S","034930","0018",148702,185765
2,148588,189526,"S","034869","0014",148610,189520
0,148030,189407,"S","034948","0031",148122,189264
1,147928,189141,"S","034961","0107",147962,189160
1,149222,189032,"S","034857","0028",149190,189037
0,148030,189407,"S","034948","0040",148107,189210
0,149596,188068,"S","034875","0010",149628,187912
0,148004,189287,"S","034942","0015",147937,189237
0,149559,188221,"S","034841","0029",149609,188280
1,149807,189352,"C","034889","0021",149846,189363
2,149152,189237,"C","034849","0143",149055,189254
2,150149,188785,"S","034898","0052",150111,188799
0,147928,189141,"S","034961","0095",147879,189138
0,148531,185045,"S","034928","0087",148608,185153
0,148858,185380,"S","034928","0076",148865,185422
2,149807,189352,"C","034889","0006",149756,189392
1,149649,189192,"S","034864","0013",149619,189233
0,147597,189402,"S","034947","0014",147569,189405
0,149968,189117,"C","034849","0378",150363,189109
0,149472,186072,"S","034936","0080",149557,186150
2,149314,189369,"S","034845","0091",149549,189362
0,149760,186515,"S","034924","0013",149682,186875
1,149362,189346,"S","034845","0018",149279,189344
1,148565,189309,"S","034849","0028",148522,189272
0,148516,185131,"S","034941","0001",148516,185130
2,149439,189039,"S","034861","0010",149429,189063
0,150149,188785,"S","034898","0103",150391,188586
1,149130,189305,"S","034855","0026",149181,189341
0,147803,190203,"S","034959","0105",147776,190165
0,148870,185648,"S","034937","0003",148869,185610
0,149152,189237,"C","034849","0110",149163,189204
1,149130,189305,"S","034855","0024",149181,189335
0,148565,189309,"S","034849","0056",148718,189287
1,148891,189406,"S","034837","0035",148850,189500
0,148565,189309,"S","034849","0079",148669,189387
2,148891,189406,"S","034837","0027",148860,189467
0,149136,187851,"S","034862","0069",149226,187717
0,148486,189525,"S","034843","0009",148487,189403
0,147863,190255,"S","034962","0008",147674,190234
0,148375,186467,"S","034940","0011",148353,186472
2,149222,189032,"S","034857","0091",149084,189029
0,147491,188983,"S","034963","0001",147504,188995
0,148867,189649,"S","034838","0101",148551,189802
0,149278,189563,"S","034855","0088",149223,189562
0,148565,189309,"S","034849","0071",148627,189322
0,148959,189438,"S","034881","0010",148976,189488
0,149676,187894,"S","034882","0016",149654,187850
0,148622,185810,"S","034931","0121",148596,185889
1,150149,188785,"S","034898","0077",150251,188665
1,150149,188785,"S","034898","0063",150205,188725
1,149355,187795,"S","034851","0015",149365,187785
0,149136,187851,"S","034862","0016",149016,188316
2,149561,189345,"S","034845","0072",149578,189327
1,149890,189351,"S","034891","0028",149902,189304
0,149571,189009,"S","034844","0012",149476,189035
0,148486,189525,"S","034843","0038",148466,189639
0,150004,189349,"S","034905","0030",149939,189331
1,148595,189602,"S","034877","0002",148715,189648
0,149152,189237,"C","034849","0110",149163,189204
1,148798,185910,"S","034930","0016",148699,185757
1,149389,188934,"S","034860","0004",149347,188911
1,149152,189237,"C","034849","0156",149362,189116
0,149476,186860,"S","034930","0079",149062,186352
1,149649,189192,"S","034864","0034",149669,189043
1,149649,189192,"S","034864","0034",149669,189043
0,149760,186515,"S","034924","0017",149709,186845
0,147922,189388,"S","034949","0006",147902,189395
1,149966,189432,"S","034904","0012",149976,189411
0,148531,185045,"S","034928","0103",148576,185013
1,149222,189032,"S","034857","0023",149319,189043
0,150439,188294,"S","034917","0030",150175,188174
1,150097,187139,"S","034921","0031",150132,187080
0,148002,187829,"S","034867","0090",148295,187876
