"src_id","src_addrid","lang_code","street_nm","hnr_base","hnr_full","appt_nr","bus_nr","pc","axon_name","laxon_name","x0","y0","x1","y1","x2","y2","x3","y3","angle","cntry_code","source","prior_source","parity"
2000854227,"1753957","DUT","Mechelseweg",76,"76",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148867.12,189287.01,148873.57,189306.8,148867.12,189287.01,148870.47,189297.29,,"BE","crab",,
2001828828,"1753316","DUT","Mechelseweg",77,"77",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148656.4,189336.63,148656.18,189317.01,148656.4,189336.63,148656.29,189327.01,,"BE","crab",,
2001122050,"1753848","DUT","Mechelseweg",78,"78",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148867.12,189287.01,148873.57,189306.8,148867.12,189287.01,148870.47,189297.29,,"BE","crab",,
1001812295,"1752477","DUT","Mechelseweg",78,"78",,"1",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148867.12,189287.01,148873.57,189306.8,148867.12,189287.01,148870.47,189297.29,,"BE","crab",,
2002024302,"1752968","DUT","Mechelseweg",79,"79",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148677.1,189329.43,148677.4,189317.51,148677.1,189329.43,148677.25,189323.28,,"BE","crab",,
2000577731,"1753916","DUT","Mechelseweg",79,"79A",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148669.4,189386.8,148671.14,189317.36,148669.4,189386.8,148670.89,189327.35,,"BE","crab",,
2002197710,"1752798","DUT","Mechelseweg",80,"80",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148884.35,189284.84,148890.35,189300.79,148884.35,189284.84,148887.13,189292.24,,"BE","crab",,
2001384007,"1753537","DUT","Mechelseweg",81,"81",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148693.53,189330.72,148693.06,189317.5,148693.53,189330.72,148693.42,189327.49,,"BE","crab",,
2000106565,"1754318","DUT","Mechelseweg",82,"82",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148894.99,189273.41,148903.44,189295.87,148894.99,189273.41,148899.92,189286.51,,"BE","crab",,
2000373628,"1754021","DUT","Mechelseweg",84,"84",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148901.24,189272.53,148909.2,189293.7,148901.24,189272.53,148905.68,189284.34,,"BE","crab",,
2001984235,"1753232","DUT","Mechelseweg",85,"85",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148707.29,189345.07,148706.29,189317.03,148707.29,189345.07,148706.65,189327.02,,"BE","crab",,
2002426910,"1753330","DUT","Mechelseweg",87,"87",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148760.71,189374.96,148760.31,189316.18,148760.71,189374.96,148760.38,189326.18,,"BE","crab",,
2002052199,"1752963","DUT","Mechelseweg",90,"90",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148851.85,189174.94,148851.85,189174.94,148851.85,189174.94,148851.85,189174.94,,"BE","crab",,
2000531125,"1754184","DUT","Mechelseweg",92,"92",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148944.67,189251.1,148954.29,189276.79,148944.67,189251.1,148950.78,189267.43,,"BE","crab",,
2000799961,"1753991","DUT","Mechelseweg",94,"94",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148961.12,189247.13,148970.02,189270.9,148961.12,189247.13,148966.51,189261.54,,"BE","crab",,
2003510908,"1752711","DUT","Mechelseweg",94,"94A",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148975.47,189254.14,148980.3,189267.05,148975.47,189254.14,148977.93,189260.7,,"BE","crab",,
2001111056,"1753857","DUT","Mechelseweg",96,"96",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148993.27,189240.79,149000.3,189259.57,148993.27,189240.79,148998.02,189253.47,,"BE","crab",,
2001975975,"1752883","DUT","Mechelseweg",96,"96A",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148993.27,189240.79,149000.3,189259.57,148993.27,189240.79,148998.02,189253.47,,"BE","crab",,
2000679905,"1753747","DUT","Mechelseweg",96,"96B",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148993.27,189240.79,149000.3,189259.57,148993.27,189240.79,148998.02,189253.47,,"BE","crab",,
2002531195,"1752859","DUT","Mechelseweg",97,"97",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148760.71,189374.96,148760.31,189316.18,148760.71,189374.96,148760.38,189326.18,,"BE","crab",,
2002830775,"1753307","DUT","Mechelseweg",99,"99",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148760.71,189374.96,148760.31,189316.18,148760.71,189374.96,148760.38,189326.18,,"BE","crab",,
2000560994,"1754108","DUT","Mechelseweg",100,"100",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149111.57,189206.54,149113.01,189226.7,149111.57,189206.54,149112.55,189220.25,,"BE","crab",,
2001871391,"1752914","DUT","Mechelseweg",100,"100A",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149143.66,189147.26,149156.14,189220.89,149146.04,189161.31,149154.47,189211.03,,"BE","crab",,
2001231597,"1753583","DUT","Mechelseweg",101,"101",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148814.13,189404.84,148808.56,189314.47,148814.13,189404.84,148809.17,189324.45,,"BE","crab",,
2002100181,"1752845","DUT","Mechelseweg",103,"103",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148836.88,189329.46,148835.85,189312.79,148836.88,189329.46,148836.47,189322.77,,"BE","crab",,
2001089829,"1753378","DUT","Mechelseweg",104,"104",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149136.97,189208.13,149139.01,189223.6,149136.97,189208.13,149138.08,189216.55,,"BE","crab",,
2001911942,"1752897","DUT","Mechelseweg",105,"105",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",148854.12,189317.44,148853.12,189310.9,148854.12,189317.44,148853.12,189310.9,,"BE","crab",,
2001473153,"1753503","DUT","Mechelseweg",106,"106",,,1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149144.27,189207,149146.89,189222.46,149144.27,189207,149145.69,189215.38,,"BE","crab",,
1001240532,"1752499","DUT","Mechelseweg",108,"108",,"4",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149163.26,189203.52,149168.83,189218.21,149163.26,189203.52,149165.67,189209.87,,"BE","crab",,
1001233762,"1752500","DUT","Mechelseweg",108,"108",,"2",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149163.26,189203.52,149168.83,189218.21,149163.26,189203.52,149165.67,189209.87,,"BE","crab",,
1001235108,"1752621","DUT","Mechelseweg",108,"108",,"5",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149163.26,189203.52,149168.83,189218.21,149163.26,189203.52,149165.67,189209.87,,"BE","crab",,
1001233477,"1752501","DUT","Mechelseweg",108,"108",,"3",1880,"KAPELLE-OP-DEN-BOS","KAPELLE-OP-DEN-BOS",149163.26,189203.52,149168.83,189218.21,149163.26,189203.52,149165.67,189209.87,,"BE","crab",,
